Sheet,Serial Number,"Assignments contributed to my learning (ex:research papers, homework, etc.)","Activities contributed to my learning (ex:group work, discussion, presentations, field work/trips, etc.)","The instructor provided feedback that supported my learning ","The instructor offered timely responses to questions and concerns ","The instructor encouraged communication among class members","The instructor communicated concepts clearly ","Course requirements, procedures, and expectations are clearly stated in the syllabus ","The grading criteria for this course were clearly defined","The grading criteria for this course were clearly applied ","What expectations did you have going into this course?","What contributed most to your learning in this course?","What grade did you expect to get in this course?","What additional comments or feedback would you like to offer this instructor ",Source of dataset
1,00053,1,1,2,1,1,2,2,3,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
2,00054,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
3,00055,2,2,2,2,2,1,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
4,00056,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
5,00057,1,1,2,1,1,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
6,00058,1,1,1,1,2,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
7,00059,1,1,1,1,2,1,1,1,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
8,00060,1,1,2,2,1,2,1,1,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
9,00062,1,1,2,1,2,2,2,2,,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
10,00063,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
11,00064,1,2,2,2,2,2,2,3,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
12,00065,,,,,,,,,,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
13,00067,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
14,00068,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
15,00069,2,2,2,2,1,1,1,1,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
16,00070,3,2,2,2,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
17,00071,2,1,0,0,1,1,1,1,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
18,00072,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
19,00073,1,2,2,1,2,3,1,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
20,00074,5,4,2,2,2,5,3,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
21,00075,4,2,4,3,3,4,4,3,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
22,00076,2,2,2,2,2,2,2,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
23,00077,3,3,4,1,2,3,1,4,3,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
24,00101,2,1,2,1,1,2,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
25,00102,3,3,3,2,1,1,1,2,2,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
26,00103,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
27,00104,1,1,1,1,1,1,1,1,1,"[IMAGE]","[IMAGE]","[IMAGE]","[IMAGE]","P"
